"->"
","
";"
"!="
"..."
"."
"("
")"
"["
"]"
"{"
"}"
"*"
"/"
"\""
"&"
"+"
"++"
"="
"||"
/
abstract_pointer_declarator
argument_list
array_declarator
assignment_expression
binary_expression
call_expression
cast_expression
comment
compound_literal_expression
compound_statement
const
declaration
else
else_clause
expression_statement
field_declaration
field_declaration_list
field_designator
field_expression
field_identifier
for
for_statement
function_declarator
function_definition
identifier
if
if_statement
init_declarator
initializer_list
initializer_pair
long
number_literal
parameter_declaration
parameter_list
parenthesized_declarator
parenthesized_expression
pointer_declarator
pointer_expression
primitive_type
return
return_statement
short
sized_type_specifier
sizeof
sizeof_expression
static
storage_class_specifier
string_content
string_literal
struct
struct_specifier
subscript_expression
subscript_range_designator
translation_unit
type_definition
type_descriptor
type_identifier
type_qualifier
typedef
union
union_specifier
unsigned
update_expression
